id;start_date;end_date;statut;type
1;2022-02-12T12:43:52;2022-02-12T21:09:31;NON_PAYE;COMPETITEUR
2;2022-02-12T05:00:58;2022-02-12T15:54:07;NON_PAYE;COMPETITEUR
3;2022-02-12T04:27:46;2022-02-12T22:36:32;NON_PAYE;COMPETITEUR
4;2022-02-12T13:11:09;2022-02-12T17:41:41;NON_PAYE;VISITEUR
5;2022-02-12T18:26:42;2022-02-12T05:39:46;NON_PAYE;VISITEUR
6;2022-02-12T05:35:46;2022-02-12T16:55:55;PAYE;COMPETITEUR
7;2022-02-12T05:03:47;2022-02-12T15:20:09;PAYE;VISITEUR
8;2022-02-12T08:27:40;2022-02-12T17:58:40;PAYE;COMPETITEUR
9;2022-02-12T04:54:47;2022-02-12T16:45:34;NON_PAYE;COMPETITEUR
10;2022-02-13T00:49:11;2022-02-12T09:43:14;PAYE;VISITEUR
